,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,sampah,n,4,2,0,-2.7268049601954285,0.3503608796744251
1,1,2,cek,n,3,1,0,-3.1418424594742724,0.17191522032744233
2,2,2,tolong,v,6,1,0,-3.949197381531876,-0.17520758578991025
3,3,3,hilang,v,1,11,0,-1.2673733415581312,0.9778445116644996
4,4,4,malam,n,1,2,1,-3.1305736639382156,0.17676024674787905
5,5,4,maaf,n,1,2,1,-3.1305736639382156,0.17676024674787905
6,6,4,salam,n,4,1,1,-1.8675392581044217,0.7198027615051104
7,7,5,maaf,n,1,2,1,-3.1305736639382156,0.17676024674787905
8,8,5,manual,adj,1,2,1,-3.1305736639382156,0.17676024674787905
9,9,5,cara,n,8,1,1,-1.7155361646593716,0.7851565964711396
10,10,6,lambat,adj,1,4,0,-1.4637705543616346,0.8934033944316564
11,11,6,canda,n,2,1,0,-2.7268049601954285,0.3503608796744251
12,12,6,lambat,adj,1,4,0,-1.4637705543616346,0.8934033944316564
13,13,7,kali,n,2,1,0,-2.7268049601954285,0.3503608796744251
14,14,7,gagal,v,1,12,0,-1.2573196768942083,0.9821670917275649
15,15,8,cantik,adj,16,1,1,-1.6330740044673986,0.8206112591755976
16,16,8,manual,adj,1,2,1,-3.1305736639382156,0.17676024674787905
17,17,8,sukses,adj,2,1,1,-2.1305736639382156,0.6067109371241568
18,18,10,tolong,v,6,1,0,-3.949197381531876,-0.17520758578991025
19,19,10,tolong,v,6,1,0,-3.949197381531876,-0.17520758578991025
20,20,11,kenan,v,1,2,1,-3.1305736639382156,0.17676024674787905
21,21,12,maaf,n,1,2,1,-3.1305736639382156,0.17676024674787905
22,22,13,gagal,v,1,12,0,-1.2573196768942083,0.9821670917275649
23,23,14,aktif,adj,7,3,0,-2.8788080536404785,0.2850070447083961
24,24,16,cek,n,3,1,1,-1.960648662495903,0.679770308806469
25,25,17,jalan,n,2,2,0,-2.1418424594742724,0.6018659107037201
26,26,18,mohon,v,2,1,1,-2.1305736639382156,0.6067109371241568
27,27,18,maaf,n,1,2,1,-3.1305736639382156,0.17676024674787905
28,28,18,aplikasi,n,2,1,1,-2.1305736639382156,0.6067109371241568
29,29,18,jalan,n,2,2,1,-2.5456111632170595,0.42826527777717405
30,30,19,maaf,n,1,2,1,-3.1305736639382156,0.17676024674787905
31,31,19,nyaman,adj,4,2,1,-2.1305736639382156,0.6067109371241568
32,32,19,cek,n,3,1,1,-1.960648662495903,0.679770308806469
33,33,19,nama,n,2,1,1,-2.1305736639382156,0.6067109371241568
34,34,20,selamat,adj,4,3,0,-2.36423488081072,0.5062481356156623
