,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,mohon,v,2,1,0,-2.6907816290195625,0.2189925863056248
1,1,0,maaf,n,1,2,0,-1.6907816290195627,0.7358867606259765
2,2,0,maya,n,2,2,0,-2.1058191282984065,0.5213562951242552
3,3,0,mohon,v,2,1,0,-2.6907816290195625,0.2189925863056248
4,4,1,selamat,adj,4,3,0,-2.3282115496348545,0.40640294812244804
5,5,2,balas,v,1,2,0,-1.6907816290195627,0.7358867606259765
6,6,2,sesuai,n,3,1,0,-3.1058191282984065,0.004462120803903069
7,7,2,sungguh,adj,1,3,0,-1.5208566275772504,0.8237200039428854
8,8,2,ganggu,v,1,4,0,-1.427747223185769,0.8718477126472799
9,9,2,buat,v,2,2,0,-2.1058191282984065,0.5213562951242552
10,10,3,kenal,v,4,1,1,-1.6705720468140612,0.7463329759334487
11,11,4,balas,v,1,2,1,-2.9336064526478554,0.0934778495917934
12,12,4,sesuai,n,3,1,1,-1.7636814512055428,0.698205267229054
13,13,4,sungguh,adj,1,3,1,-3.3486439519266993,-0.12105261590992833
14,14,4,ganggu,v,1,4,1,-3.6705720468140615,-0.2874553727072554
15,15,4,buat,v,2,2,1,-2.3486439519266993,0.39584155841042357
16,16,5,resmi,adj,1,2,1,-2.9336064526478554,0.0934778495917934
17,17,5,sosial,adj,1,2,1,-2.9336064526478554,0.0934778495917934
18,18,6,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
19,19,6,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
20,20,7,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
21,21,7,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
22,22,7,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
23,23,7,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
24,24,8,kek,n,1,2,0,-1.6907816290195627,0.7358867606259765
25,25,9,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
26,26,9,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
27,27,10,masuk,v,2,1,0,-2.6907816290195625,0.2189925863056248
28,28,10,baik,adj,13,1,0,-4.913174050356011,-0.9297491093368863
29,29,10,serius,adj,5,7,0,-1.8834267069619586,0.6363096421260623
30,30,11,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
31,31,11,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
32,32,11,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
33,33,11,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
34,34,13,buruk,adj,1,19,0,-1.1798197097421834,1.0
35,35,13,buka,v,2,3,0,-1.842784722464613,0.6573172471455582
36,36,13,susah,adj,3,11,0,-1.4537424317187135,0.8584109407963583
37,37,13,kerja,n,4,2,0,-2.6907816290195625,0.2189925863056248
38,38,15,nyata,adj,23,2,0,-4.749675318073131,-0.845237567111103
39,39,16,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
40,40,16,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
41,41,16,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
42,42,17,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
43,43,17,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
44,44,18,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
45,45,18,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
46,46,19,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
47,47,19,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
48,48,19,alam,n,2,2,1,-2.3486439519266993,0.39584155841042357
49,49,19,main,v,4,1,1,-1.6705720468140612,0.7463329759334487
50,50,19,ganggu,v,1,4,1,-3.6705720468140615,-0.2874553727072554
51,51,19,agar,k,2,1,1,-1.9336064526478551,0.6103720239121453
52,52,20,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
53,53,20,balas,v,1,2,1,-2.9336064526478554,0.0934778495917934
54,54,20,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
55,55,22,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
56,56,22,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
57,57,23,aplikasi,n,2,1,0,-2.6907816290195625,0.2189925863056248
58,58,24,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
59,59,24,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
60,60,25,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
61,61,25,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
62,62,25,potong,n,2,2,1,-2.3486439519266993,0.39584155841042357
63,63,26,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
64,64,26,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
65,65,26,potong,n,2,2,1,-2.3486439519266993,0.39584155841042357
66,66,27,resmi,adj,1,2,1,-2.9336064526478554,0.0934778495917934
67,67,27,sosial,adj,1,2,1,-2.9336064526478554,0.0934778495917934
68,68,28,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
