,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,5,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
1,1,5,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
2,2,6,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
3,3,6,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
4,4,8,mohon,v,2,1,1,-2.2960776008557193,0.52294741042362
5,5,8,cek,n,3,1,1,-2.1261525994134067,0.6076249234746596
6,6,9,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
7,7,9,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
8,8,11,mahal,adj,4,2,0,-2.849723238029203,0.2470531319508642
9,9,12,cari,v,2,1,0,-2.849723238029203,0.2470531319508642
10,10,13,cek,n,3,1,0,-3.264760737308047,0.040230457455926905
11,11,13,privasi,n,3,1,0,-3.264760737308047,0.040230457455926905
12,12,13,jaga,v,5,5,0,-2.264760737308047,0.5385533194968408
13,13,13,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
14,14,14,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
15,15,14,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
16,16,15,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
17,17,15,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
18,18,16,pas,n,2,1,0,-2.849723238029203,0.2470531319508642
19,19,16,mati,v,2,5,0,-1.7501875644782887,0.7949768957108398
20,20,16,jelek,adj,2,3,0,-2.001726331474253,0.6696293774271682
21,21,17,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
22,22,17,maksimal,adj,2,1,0,-2.849723238029203,0.2470531319508642
23,23,18,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
24,24,18,beda,n,1,2,0,-1.8497232380292032,0.7453759939917779
25,25,19,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
26,26,19,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
27,27,20,kali,n,2,1,0,-2.849723238029203,0.2470531319508642
28,28,22,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
29,29,22,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
30,30,23,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
31,31,23,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
32,32,24,aplikasi,n,2,1,1,-2.2960776008557193,0.52294741042362
33,33,25,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
34,34,25,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
35,35,26,cegah,v,2,1,0,-2.849723238029203,0.2470531319508642
36,36,26,jahat,adj,2,22,0,-1.3902916193919057,0.9743212731032056
37,37,26,tahu,v,5,1,0,-3.849723238029203,-0.2512697300900496
38,38,27,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
39,39,27,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
40,40,28,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
41,41,28,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
42,42,29,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
43,43,29,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
44,44,31,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
45,45,31,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
46,46,32,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
47,47,32,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
48,48,33,muak,adj,1,2,0,-1.8497232380292032,0.7453759939917779
49,49,33,hancur,adj,1,4,0,-1.5866888321954091,0.8764520519221055
50,50,36,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
51,51,36,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
52,52,37,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
53,53,37,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
54,54,38,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
55,55,38,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
56,56,39,mati,v,2,5,0,-1.7501875644782887,0.7949768957108398
57,57,39,hujan,n,1,2,0,-1.8497232380292032,0.7453759939917779
58,58,40,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
59,59,40,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
60,60,42,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
61,61,42,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
62,62,43,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
63,63,43,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
64,64,44,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
65,65,44,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
66,66,45,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
67,67,46,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
68,68,48,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
69,69,51,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
70,70,51,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
71,71,52,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
72,72,52,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
73,73,53,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
74,74,53,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
75,75,54,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
76,76,54,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
77,77,55,jadi,v,2,2,0,-2.264760737308047,0.5385533194968408
78,78,55,privasi,n,3,1,0,-3.264760737308047,0.040230457455926905
79,79,55,jaga,v,5,5,0,-2.264760737308047,0.5385533194968408
80,80,57,penyalahgunaan,n,1,3,0,-1.6797982365868906,0.8300535070428177
81,81,60,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
82,82,60,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
83,83,63,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
84,84,63,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
85,85,64,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
86,86,64,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
87,87,65,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
88,88,65,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
89,89,66,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
90,90,66,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
91,91,68,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
92,92,68,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
93,93,69,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
94,94,69,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
95,95,70,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
96,96,70,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
97,97,71,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
98,98,71,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
99,99,73,sir,adj,1,2,0,-1.8497232380292032,0.7453759939917779
100,100,76,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
101,101,76,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
102,102,77,utama,adj,13,2,0,-4.171651332916565,-0.41169385970569883
103,103,78,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
104,104,78,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
105,105,79,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
106,106,79,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
107,107,80,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
108,108,80,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
109,109,81,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
110,110,81,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
111,111,82,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
112,112,82,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
113,113,83,aman,adj,7,5,0,-2.527795143141841,0.4074772615665134
114,114,83,proses,n,1,2,0,-1.8497232380292032,0.7453759939917779
115,115,85,buat,v,2,2,0,-2.264760737308047,0.5385533194968408
116,116,85,contoh,n,6,2,0,-3.264760737308047,0.040230457455926905
117,117,86,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
118,118,86,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
119,119,89,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
120,120,89,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
121,121,90,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
122,122,90,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
123,123,91,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
124,124,91,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
125,125,92,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
126,126,92,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
127,127,94,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
128,128,94,contoh,n,6,2,1,-2.1261525994134067,0.6076249234746596
129,129,95,buat,v,2,2,1,-2.7111151001345632,0.31612473592868273
