tweet_id,term,pos,pos_fre,neg_fre,label
0,mohon,v,1,0,0
0,maaf,n,0,1,0
0,maya,n,1,1,0
0,mohon,v,1,0,0
1,selamat,adj,3,2,0
2,balas,v,0,1,0
2,sesuai,n,2,0,0
2,sungguh,adj,0,2,0
2,ganggu,v,0,3,0
2,buat,v,1,1,0
3,kenal,v,3,0,1
4,balas,v,0,1,1
4,sesuai,n,2,0,1
4,sungguh,adj,0,2,1
4,ganggu,v,0,3,1
4,buat,v,1,1,1
5,resmi,adj,0,1,1
5,sosial,adj,0,1,1
6,maaf,n,0,1,1
6,maya,n,1,1,1
7,mohon,v,1,0,1
7,maaf,n,0,1,1
7,maya,n,1,1,1
7,mohon,v,1,0,1
8,kek,n,0,1,0
9,maaf,n,0,1,1
9,maya,n,1,1,1
10,masuk,v,1,0,0
10,baik,adj,12,0,0
10,serius,adj,4,6,0
11,mohon,v,1,0,1
11,maaf,n,0,1,1
11,maya,n,1,1,1
11,mohon,v,1,0,1
13,buruk,adj,0,18,0
13,buka,v,1,2,0
13,susah,adj,2,10,0
13,kerja,n,3,1,0
15,nyata,adj,22,1,0
16,mohon,v,1,0,1
16,maaf,n,0,1,1
16,mohon,v,1,0,1
17,mohon,v,1,0,1
17,maaf,n,0,1,1
18,mohon,v,1,0,1
18,maaf,n,0,1,1
19,mohon,v,1,0,1
19,maaf,n,0,1,1
19,alam,n,1,1,1
19,main,v,3,0,1
19,ganggu,v,0,3,1
19,agar,k,1,0,1
20,maya,n,1,1,1
20,balas,v,0,1,1
20,cek,n,2,0,1
22,mohon,v,1,0,1
22,maaf,n,0,1,1
23,aplikasi,n,1,0,0
24,mohon,v,1,0,1
24,maaf,n,0,1,1
25,mohon,v,1,0,1
25,maaf,n,0,1,1
25,potong,n,1,1,1
26,mohon,v,1,0,1
26,maaf,n,0,1,1
26,potong,n,1,1,1
27,resmi,adj,0,1,1
27,sosial,adj,0,1,1
28,maya,n,1,1,1
29,biasa,adj,12,12,0
29,mahal,adj,3,1,0
29,relatif,adj,0,1,0
30,maya,n,1,1,1
31,mohon,v,1,0,1
31,maaf,n,0,1,1
31,maya,n,1,1,1
32,masalah,n,2,7,1
33,selamat,adj,3,2,0
33,status,n,1,1,0
33,gagal,v,0,11,0
33,ganggu,v,0,3,0
34,mohon,v,1,0,1
34,maaf,n,0,1,1
35,gila,adj,4,9,0
35,bapuk,n,1,0,0
35,buka,v,1,2,0
35,aplikasi,n,1,0,0
35,kuat,adj,17,8,0
36,maya,n,1,1,1
36,tunggu,v,0,1,1
38,mohon,v,1,0,1
38,maaf,n,0,1,1
38,maya,n,1,1,1
39,mohon,v,1,0,1
39,maaf,n,0,1,1
39,maya,n,1,1,1
40,potong,n,1,1,0
40,heran,adj,0,1,0
42,baik,adj,12,0,1
42,maya,n,1,1,1
42,tunggu,v,0,1,1
44,mohon,v,1,0,1
44,maaf,n,0,1,1
44,maya,n,1,1,1
44,maya,n,1,1,1
45,kasih,n,4,0,1
45,mohon,v,1,0,1
45,maaf,n,0,1,1
46,aplikasi,n,1,0,1
47,mohon,v,1,0,1
47,maaf,n,0,1,1
47,potong,n,1,1,1
48,mohon,v,1,0,1
48,maaf,n,0,1,1
51,mohon,v,1,0,1
51,maaf,n,0,1,1
52,ganggu,v,0,3,0
52,proses,n,0,1,0
53,maya,n,1,1,0
54,ada,v,5,0,1
54,dasar,n,3,3,1
54,zodiak,n,1,0,1
54,zodiak,n,1,0,1
55,mohon,v,1,0,1
55,maaf,n,0,1,1
55,maya,n,1,1,1
55,mohon,v,1,0,1
56,maya,n,1,1,1
57,wilayah,n,3,1,0
57,tolong,v,5,0,0
57,baik,adj,12,0,0
58,bulan,n,1,0,0
60,mohon,v,1,0,1
60,maaf,n,0,1,1
60,maya,n,1,1,1
61,tolong,v,5,0,1
61,cek,n,2,0,1
61,kasih,n,4,0,1
63,mohon,v,1,0,1
63,maaf,n,0,1,1
64,wahyu,n,1,1,1
64,maaf,n,0,1,1
65,maaf,n,0,1,1
66,mati,v,1,4,0
66,set,n,1,0,0
67,mohon,v,1,0,1
67,maaf,n,0,1,1
67,maya,n,1,1,1
69,kualitas,n,3,0,1
70,maya,n,1,1,0
70,rasa,n,5,3,0
70,alam,n,1,1,0
71,maya,n,1,1,1
72,mohon,v,1,0,1
72,maaf,n,0,1,1
72,maya,n,1,1,1
76,mohon,v,1,0,1
76,maaf,n,0,1,1
77,mohon,v,1,0,1
77,maaf,n,0,1,1
77,alam,n,1,1,1
77,main,v,3,0,1
77,ganggu,v,0,3,1
77,agar,k,1,0,1
79,maya,n,1,1,1
80,gada,n,1,0,0
80,bonus,n,1,0,0
