tweet_id,term,pos,pos_fre,neg_fre,label
5,buat,v,1,1,1
5,contoh,n,5,1,1
6,buat,v,1,1,1
6,contoh,n,5,1,1
8,mohon,v,1,0,1
8,cek,n,2,0,1
9,buat,v,1,1,1
9,contoh,n,5,1,1
11,mahal,adj,3,1,0
12,cari,v,1,0,0
13,cek,n,2,0,0
13,privasi,n,2,0,0
13,jaga,v,4,4,0
13,tunggu,v,0,1,0
14,buat,v,1,1,1
14,contoh,n,5,1,1
15,buat,v,1,1,1
15,contoh,n,5,1,1
16,pas,n,1,0,0
16,mati,v,1,4,0
16,jelek,adj,1,2,0
17,maaf,n,0,1,0
17,maksimal,adj,1,0,0
18,maaf,n,0,1,0
18,beda,n,0,1,0
19,buat,v,1,1,1
19,contoh,n,5,1,1
20,kali,n,1,0,0
22,buat,v,1,1,1
22,contoh,n,5,1,1
23,buat,v,1,1,1
23,contoh,n,5,1,1
24,aplikasi,n,1,0,1
25,buat,v,1,1,1
25,contoh,n,5,1,1
26,cegah,v,1,0,0
26,jahat,adj,1,21,0
26,tahu,v,4,0,0
27,buat,v,1,1,1
27,contoh,n,5,1,1
28,buat,v,1,1,1
28,contoh,n,5,1,1
29,buat,v,1,1,1
29,contoh,n,5,1,1
31,buat,v,1,1,1
31,contoh,n,5,1,1
32,buat,v,1,1,1
32,contoh,n,5,1,1
33,muak,adj,0,1,0
33,hancur,adj,0,3,0
36,buat,v,1,1,1
36,contoh,n,5,1,1
37,buat,v,1,1,1
37,contoh,n,5,1,1
38,buat,v,1,1,1
38,contoh,n,5,1,1
39,mati,v,1,4,0
39,hujan,n,0,1,0
40,buat,v,1,1,1
40,contoh,n,5,1,1
42,buat,v,1,1,1
42,contoh,n,5,1,1
43,buat,v,1,1,1
43,contoh,n,5,1,1
44,buat,v,1,1,1
44,contoh,n,5,1,1
45,tolong,v,5,0,0
46,baik,adj,12,0,0
48,maaf,n,0,1,0
51,buat,v,1,1,1
51,contoh,n,5,1,1
52,buat,v,1,1,1
52,contoh,n,5,1,1
53,buat,v,1,1,1
53,contoh,n,5,1,1
54,buat,v,1,1,1
54,contoh,n,5,1,1
55,jadi,v,1,1,0
55,privasi,n,2,0,0
55,jaga,v,4,4,0
57,penyalahgunaan,n,0,2,0
60,buat,v,1,1,1
60,contoh,n,5,1,1
63,buat,v,1,1,1
63,contoh,n,5,1,1
64,buat,v,1,1,1
64,contoh,n,5,1,1
