text,label
ter regist ringtone padahal tidak me regist sampah s,0
quota mksdnya gimana,0
min cek dm tolong,0
paket internet hilang ya,0
malam kak maaf ketidaknyamanannya lapor konfirmasi via dm ya salam teo,1
hai kak maaf bgt ya kak yuk coba setting manual jaring ya cara pilih atur jari,1
provider lambat canda lambat mahalnyadoang,0
sya udh kali coba beli paket kuota hot promo freedom you 10gb gagal transaksi s,0
cantik hi kak coba setting jaring manual pilih operator pilih indosat sukses,1
tak kiro muk wkwk makane saiki busak trus browser,0
min tolong dititidak yaa kuota 50gb tp gabisa akses internet tolong dititidak sec,0
jika kakak kenan kakak konfirmasi infoin data2 via dm,1
hi kak maaf keluh belum bantu titidaklanjuti sms tsb bantu bl,1
min ane transfer pulsa drtd gagal nih,0
halo nomer indosat udah tidak aktif tp kartu bisa diaktifin tidak min,0
spam every day,0
hai kak konfirmasi via dm ya yuk cek dmnya dini,1
ini ya nggak akses internet nya untuk youtube search google fb ig nggak jalan min,0
hi kak mohon maaf kendala ya kak yuk clear cache off aplikasi jalan coba akses,1
hai kak imam maaf ya tidak nyaman mimin bantu cek yuk infoin nomor indosat nama le,1
selamat sore keluh im3 error pulsa hilang padahal,0
tolong cek dm,1
min knapa dah jaring lemoooootttt bgt,0
saya ganti kartu sim card micro nano harus gerai hastag nya,0
hi kak air maaf kendala kait pulsa potong yuk info via dm nomor nama sisa,1
hai kak maaf kendala alami ya kami bantu cek infoin nomor nama milik,1
cek dm min,1
hai kak arman maaf banget bikin tidak nyaman nih kait kendala jaring sila kakak sett,1
hai kak maaf banget tidak nyaman langkah coba setting jaring manual re,1
hi kak yudha maaf alam silah info nomor nama aktif nama paket d,1
sisa kuota akumalasi tidak yaa atahu kuota bs bagi share guna tidak,0
skrg udh normal lgi tpi gpp kasi ya dri history signal data tahu,1
dan bulan kuota hilang mana,0
saya kena jam,0
hi kak prasetyo mohon maaf kendala ya kak yuk clear cache off aplikasi jalan d,1
jika msh info no hp sinyal lokasi detail kota kab kec kel rt rw jalan no alter,1
hi ka maaf kendala bisa bantu setting manual ya masuk menu atur network atahu,1
hai kak sam mohon maaf sblmnya mohon dpt info nomor kendala sisa pulsa aktif nomor,1
hi there sorry for the experince we will check for the problem please inform your number the nu,1
baik kak arman mimin titidaklanjuti yuk infoin signal data lokasi detail nama jalan,1
maaf baca respons sekarang beres,1
kak indosat jaring nya buruk banget ya kak open dm ka biar kasih wilayah,1
sayaa udh dm no hp ya,1
hai kak salsa mohon dpt cek dm sdh balas via dm salam lisa,1
hai kak maaf bgt ya kak yuk coba setting manual jaring ya cara pilih atur jaring,1
hai kak akira mohon maaf layan internet lokasi kakak optimal kami ber,1
you have deactivate my sim card without any info by email sms call it s not fair for customers als,0
hai kak mohon maaf alam alami kait kendala alami saat sdh infok,1
hi kak sahrul keluh respon dm ya kak thanks dasa,1
nim jika mohon bantu info nomor waktu detail jadi tanggal jam signal data,1
nim hai kak maaf kendala ya silah coba setting manual jaring masuk menu,1
hp,0
mohon bantuanya buka sim card salah pin 3x terimakasih,0
indosat jateng trobel sinyal 4g hilang h kadang putus nyambung,0
wilayah ciledug tangerang alami down 30 45,0
iya om mendung sinyal indosat tiarap,0
udah jam internet gabisa ya,0
tolong lh benah ni jaring hilang medan 4gnya gk tdi bagus aja,0
min tidak beli paket,0
min sinyal indosat nggak pakai internetan,0
hai kak paw maaf tidak nyaman langkah restart hp jika yuk info nomor indosat,1
m3 ganggu ya data ilang mulu udah restart mode pesawat tukar sim ganti jaring normal be,0
mohon jelas nya kak,0
hi kak herry bantu cek ya kak yuk infoin dm nomor indosat nam,1
sama menang tidak dpat bintang afk,0
temen saia lapor iya pakek indosat,0
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
